date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:22:04	7911/7911	---M--	200	added ('OK')	image/png	etag:%221ee7-5c5053f6-3bf19e081432cefa;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/c-1.png	C:/My%20Web%20Sites/bio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/c-1.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
12:22:05	36496/36496	---M--	200	added ('OK')	image/png	etag:%228e90-5c5053f6-d3d7ebe8e3023329;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/b-3.png	C:/My%20Web%20Sites/bio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/b-3.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
12:22:07	19188/19188	---M-Z	200	added ('OK')	application/javascript	etag:%224af4-5bb2520c-77538d330f212570;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/popper.min.js	C:/My%20Web%20Sites/bio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/popper.min.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
12:22:07	44387/44387	---M--	200	added ('OK')	image/png	etag:%22ad63-5c5053f8-7614db0fad4400d9;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/b-2.png	C:/My%20Web%20Sites/bio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/b-2.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
12:22:09	84355/84355	---M-Z	200	added ('OK')	application/javascript	etag:%2214983-5c4eca16-9cb2ad2634a26ceb;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/jquery.min.js	C:/My%20Web%20Sites/bio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/jquery.min.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
12:22:10	40401/40401	---M-Z	200	added ('OK')	application/javascript	etag:%229dd1-5bb255a6-9ecd4b5bf72ddefc;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/owl.carousel.js	C:/My%20Web%20Sites/bio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/owl.carousel.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
12:22:10	48944/48944	---M-Z	200	added ('OK')	application/javascript	etag:%22bf30-5bb251f8-2286349df7c9b26f;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/bootstrap.min.js	C:/My%20Web%20Sites/bio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/bootstrap.min.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
12:22:10	6077/6077	---M-Z	200	added ('OK')	application/javascript	etag:%2217bd-5bb255a6-bad0f64972056673;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/validator.min.js	C:/My%20Web%20Sites/bio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/validator.min.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
12:22:10	8415/8415	---M-Z	200	added ('OK')	application/javascript	etag:%2220df-5bb255a6-68496073858a6c5c;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/wow.min.js	C:/My%20Web%20Sites/bio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/wow.min.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
12:22:11	5138/5138	---M-Z	200	added ('OK')	application/javascript	etag:%221412-5c07daf4-dd08f41f755effd0;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/jquery.nav.js	C:/My%20Web%20Sites/bio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/jquery.nav.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
12:22:12	28935/28935	---M-Z	200	added ('OK')	application/javascript	etag:%227107-5c4ecae8-f524db32ea2ee3a3;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/jquery.mixitup.min.js	C:/My%20Web%20Sites/bio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/jquery.mixitup.min.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
12:22:12	21102/21102	---M-Z	200	added ('OK')	application/javascript	etag:%22526e-5bc78a36-a6d8e9dec4e4834f;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/circle-progress.js	C:/My%20Web%20Sites/bio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/circle-progress.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
12:22:12	81213/81213	---M--	200	added ('OK')	image/png	etag:%2213d3d-5c5053f8-1bd1cba9f351a312;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/b-1.png	C:/My%20Web%20Sites/bio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/b-1.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
12:22:13	45500/45500	---M-Z	200	added ('OK')	application/javascript	etag:%22b1bc-5bddc33c-aaf1c061207bd640;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/jquery.fancybox.min.js	C:/My%20Web%20Sites/bio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/jquery.fancybox.min.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
